A,B,C,AVSC,cos-zenith
1230.57,0.141301,0.0569357,1.03248,0.515827
1230.57,0.141301,0.0569357,1.03248,0.481384
1230.57,0.141301,0.0569357,1.03248,0.399046
1230.57,0.141301,0.0569357,1.03248,0.274424
1230.57,0.141301,0.0569357,1.03248,0.11601
1230.57,0.141301,0.0569357,1.03248,-0.0653986
1230.57,0.141301,0.0569357,1.03248,-0.25744
1230.57,0.141301,0.0569357,1.03248,-0.447027
1230.57,0.141301,0.0569357,1.03248,-0.62124
1230.57,0.141301,0.0569357,1.03248,-0.768206
1230.57,0.141301,0.0569357,1.03248,-0.877909
1230.57,0.141301,0.0569357,1.03248,-0.942874
1230.33,0.141319,0.0569894,1.03233,-0.95782
1230.33,0.141319,0.0569894,1.03233,-0.923625
1230.33,0.141319,0.0569894,1.03233,-0.841452
1230.33,0.141319,0.0569894,1.03233,-0.716901
1230.33,0.141319,0.0569894,1.03233,-0.558459
1230.33,0.141319,0.0569894,1.03233,-0.376925
1230.33,0.141319,0.0569894,1.03233,-0.18467
1230.33,0.141319,0.0569894,1.03233,0.00520525
1230.33,0.141319,0.0569894,1.03233,0.17976
1230.33,0.141319,0.0569894,1.03233,0.327099
1230.33,0.141319,0.0569894,1.03233,0.437181
1230.33,0.141319,0.0569894,1.03233,0.502504
1230.33,0.141319,0.0569894,1.03233,0.518618
1230.33,0.141319,0.0569894,1.03233,0.484422
1230.33,0.141319,0.0569894,1.03233,0.402249
1230.33,0.141319,0.0569894,1.03233,0.277698
1230.33,0.141319,0.0569894,1.03233,0.119256
1230.33,0.141319,0.0569894,1.03233,-0.0622776
1230.33,0.141319,0.0569894,1.03233,-0.254533
1230.33,0.141319,0.0569894,1.03233,-0.444408
1230.33,0.141319,0.0569894,1.03233,-0.618963
1230.33,0.141319,0.0569894,1.03233,-0.766301
1230.33,0.141319,0.0569894,1.03233,-0.876384
1230.33,0.141319,0.0569894,1.03233,-0.941707
1230.07,0.141341,0.057047,1.03218,-0.956921
1230.07,0.141341,0.057047,1.03218,-0.922965
1230.07,0.141341,0.057047,1.03218,-0.840946
1230.07,0.141341,0.057047,1.03218,-0.716455
1230.07,0.141341,0.057047,1.03218,-0.557976
1230.07,0.141341,0.057047,1.03218,-0.376308
1230.07,0.141341,0.057047,1.03218,-0.183832
1230.07,0.141341,0.057047,1.03218,0.00633539
1230.07,0.141341,0.057047,1.03218,0.181234
